TEAM_NAME,TEAM_ID,GP,W,L,W_PCT,MIN,E_OFF_RATING,E_DEF_RATING,E_NET_RATING,E_PACE,E_AST_RATIO,E_OREB_PCT,E_DREB_PCT,E_REB_PCT,E_TM_TOV_PCT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,E_OFF_RATING_RANK,E_DEF_RATING_RANK,E_NET_RATING_RANK,E_AST_RATIO_RANK,E_OREB_PCT_RANK,E_DREB_PCT_RANK,E_REB_PCT_RANK,E_TM_TOV_PCT_RANK,E_PACE_RANK
Memphis Grizzlies,1610612763,61,38,23,0.623,2933.0,114.9,109.3,5.5,107.0,19.3,0.299,0.74,0.524,0.153,6,6,7,7,15,6,9,4,11,2,21,2,25,1
Atlanta Hawks,1610612737,61,28,33,0.459,2948.0,109.9,112.3,-2.4,105.7,19.7,0.258,0.759,0.501,0.149,6,19,18,19,9,19,20,21,9,11,9,15,21,2
Chicago Bulls,1610612741,61,24,37,0.393,2943.0,110.5,113.4,-3.0,105.3,19.8,0.217,0.761,0.491,0.142,6,23,23,23,12,17,25,22,7,27,7,22,18,3
Washington Wizards,1610612764,60,11,49,0.183,2890.0,103.4,115.9,-12.5,103.9,17.7,0.228,0.733,0.479,0.154,18,30,30,30,25,30,29,30,25,25,25,29,26,4
Denver Nuggets,1610612743,61,39,22,0.639,2948.0,117.3,112.0,5.4,102.7,21.1,0.269,0.749,0.521,0.139,6,5,6,6,9,2,16,5,1,7,15,3,16,5
Oklahoma City Thunder,1610612760,61,50,11,0.82,2933.0,116.7,104.1,12.6,102.5,18.9,0.249,0.737,0.496,0.116,6,1,2,2,15,4,1,1,15,19,23,19,1,6
Cleveland Cavaliers,1610612739,60,50,10,0.833,2885.0,120.4,108.2,12.2,102.5,20.1,0.256,0.753,0.513,0.128,18,1,1,1,26,1,6,2,4,14,12,6,3,6
Detroit Pistons,1610612765,62,35,27,0.565,2996.0,111.2,109.6,1.6,102.4,18.6,0.263,0.77,0.519,0.15,1,9,11,11,1,14,10,14,17,8,3,4,22,8
New Orleans Pelicans,1610612740,61,17,44,0.279,2943.0,108.2,115.4,-7.2,102.2,18.0,0.262,0.724,0.484,0.138,6,27,27,27,12,24,28,27,24,10,29,27,14,9
Utah Jazz,1610612762,61,15,46,0.246,2948.0,108.9,116.7,-7.8,102.2,18.2,0.277,0.748,0.515,0.169,6,28,28,28,9,23,30,28,20,4,16,5,30,9
Indiana Pacers,1610612754,59,34,25,0.576,2847.0,113.9,112.1,1.7,102.1,20.4,0.211,0.742,0.481,0.131,27,10,9,9,27,7,19,12,2,29,20,28,6,11
San Antonio Spurs,1610612759,59,25,34,0.424,2842.0,110.5,112.4,-1.9,102.1,20.3,0.241,0.73,0.487,0.137,27,22,21,22,28,16,22,19,3,22,26,25,12,11
Milwaukee Bucks,1610612749,59,34,25,0.576,2837.0,112.1,110.1,2.0,101.9,18.4,0.196,0.761,0.489,0.134,27,10,9,9,29,12,12,10,18,30,6,24,7,13
Houston Rockets,1610612745,61,37,24,0.607,2943.0,109.7,107.2,2.5,101.9,16.0,0.312,0.755,0.528,0.136,6,8,8,8,12,20,3,9,30,1,11,1,10,13
Golden State Warriors,1610612744,61,33,28,0.541,2933.0,110.9,109.0,2.0,101.8,20.0,0.274,0.759,0.508,0.135,6,12,12,12,15,15,8,10,5,5,8,9,9,15
Toronto Raptors,1610612761,61,19,42,0.311,2953.0,107.6,113.2,-5.7,101.7,19.7,0.263,0.739,0.498,0.152,6,26,26,26,6,26,24,25,8,9,22,17,23,16
Portland Trail Blazers,1610612757,62,28,34,0.452,2986.0,108.0,112.4,-4.4,101.7,17.1,0.282,0.723,0.499,0.157,1,19,21,21,3,25,21,23,27,3,30,16,29,16
Sacramento Kings,1610612758,60,32,28,0.533,2915.0,113.6,111.9,1.7,101.6,19.0,0.253,0.77,0.512,0.131,18,14,12,13,19,8,15,12,14,16,2,7,5,18
Dallas Mavericks,1610612742,62,32,30,0.516,2986.0,112.7,111.4,1.3,101.5,18.1,0.248,0.729,0.494,0.138,1,14,16,16,3,11,14,16,21,20,27,20,13,19
Charlotte Hornets,1610612766,60,14,46,0.233,2895.0,103.5,112.0,-8.5,100.6,17.1,0.271,0.747,0.502,0.153,18,29,28,29,22,29,17,29,28,6,18,13,24,20
LA Clippers,1610612746,60,32,28,0.533,2895.0,109.3,107.8,1.5,100.4,18.0,0.249,0.768,0.509,0.156,18,14,12,13,22,21,4,15,23,18,4,8,27,21
Los Angeles Lakers,1610612747,59,38,21,0.644,2837.0,112.9,110.0,2.8,100.3,19.2,0.229,0.749,0.497,0.139,27,6,5,5,29,10,11,8,13,24,14,18,15,22
Minnesota Timberwolves,1610612750,62,33,29,0.532,2991.0,111.6,108.3,3.3,100.1,18.4,0.254,0.747,0.502,0.146,1,12,15,15,2,13,7,7,19,15,19,12,19,23
Phoenix Suns,1610612756,61,28,33,0.459,2953.0,113.1,114.7,-1.6,99.9,19.9,0.216,0.734,0.486,0.141,6,19,18,19,6,9,27,18,6,28,24,26,17,24
New York Knicks,1610612752,60,40,20,0.667,2905.0,116.4,112.5,3.9,99.8,19.5,0.257,0.748,0.507,0.13,18,4,4,4,20,5,23,6,10,12,17,10,4,25
Boston Celtics,1610612738,61,43,18,0.705,2953.0,116.7,107.8,8.9,99.3,18.7,0.243,0.765,0.504,0.12,6,3,3,3,6,3,5,3,16,21,5,11,2,26
Philadelphia 76ers,1610612755,60,21,39,0.35,2900.0,109.3,113.6,-4.4,99.2,17.1,0.229,0.727,0.467,0.134,18,24,24,24,21,22,26,23,26,23,28,30,8,27
Brooklyn Nets,1610612751,60,21,39,0.35,2895.0,105.4,112.1,-6.7,98.9,18.1,0.252,0.752,0.49,0.156,18,24,24,24,22,27,18,26,22,17,13,23,28,28
Orlando Magic,1610612753,62,29,33,0.468,2986.0,104.8,106.9,-2.1,98.8,17.0,0.256,0.779,0.501,0.147,1,17,18,18,3,28,2,20,29,13,1,14,20,29
Miami Heat,1610612748,60,29,31,0.483,2925.0,110.1,110.6,-0.6,98.5,19.2,0.219,0.757,0.492,0.137,18,17,17,17,18,18,13,17,12,26,10,21,11,30
