TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
1610612737,Atlanta Hawks,61,28,33,0.459,48.3,42.7,91.8,0.465,13.1,37.2,0.352,18.4,24.0,0.766,11.9,32.8,44.7,29.3,15.9,10.0,5.2,5.0,18.9,19.8,116.9,-2.8,6,19,18,19,8,8,6,14,15,16,19,2,2,24,8,22,13,2,26,2,11,17,15,3,7,21
1610612738,Boston Celtics,61,43,18,0.705,48.4,41.6,90.1,0.461,17.8,48.0,0.37,15.9,20.0,0.796,10.8,34.0,44.9,25.8,12.0,7.2,5.6,3.8,16.4,18.3,116.8,8.6,6,3,3,3,4,14,11,17,1,1,8,26,28,7,19,7,11,18,2,29,6,1,2,23,8,3
1610612751,Brooklyn Nets,60,21,39,0.35,48.3,37.4,85.6,0.437,13.1,38.3,0.343,16.9,21.2,0.797,11.1,30.1,41.1,24.7,15.6,7.9,4.5,5.9,20.7,19.4,104.8,-6.5,18,24,24,24,13,30,29,29,14,12,27,17,20,6,14,29,28,25,23,18,25,28,28,7,29,26
1610612766,Charlotte Hornets,60,14,46,0.233,48.3,38.1,89.8,0.424,13.3,39.3,0.338,15.6,20.1,0.777,12.7,32.9,45.6,23.7,15.5,8.0,4.7,5.5,19.1,18.6,105.1,-7.8,18,29,28,29,13,28,13,30,13,7,28,29,27,20,4,21,5,27,22,17,21,24,19,18,28,29
1610612741,Chicago Bulls,61,24,37,0.393,48.2,42.6,92.0,0.463,15.9,43.1,0.368,15.4,19.1,0.805,9.9,35.3,45.2,28.8,15.0,7.6,4.7,5.1,17.7,16.5,116.5,-4.0,6,23,23,23,16,9,4,16,3,2,11,30,30,3,25,2,9,8,20,25,19,18,7,30,10,23
1610612739,Cleveland Cavaliers,60,50,10,0.833,48.1,45.0,90.6,0.497,16.2,41.1,0.395,16.8,21.3,0.786,10.9,34.4,45.3,28.9,13.1,8.3,4.4,4.6,18.6,18.6,123.1,11.5,18,1,1,1,27,3,9,2,2,4,1,19,17,13,18,4,8,7,3,11,26,9,13,19,2,2
1610612742,Dallas Mavericks,62,32,30,0.516,48.2,41.9,88.3,0.474,13.0,35.4,0.369,17.8,23.0,0.775,10.8,33.2,44.0,25.2,14.1,7.9,5.9,4.7,18.5,18.8,114.7,1.1,1,14,16,16,22,11,20,12,16,22,9,6,6,22,20,17,16,21,13,19,4,11,12,14,11,16
1610612743,Denver Nuggets,61,39,22,0.639,48.3,45.8,90.1,0.508,12.0,31.5,0.381,17.6,22.7,0.775,11.3,34.7,46.0,31.1,14.4,8.2,4.7,5.1,17.6,18.9,121.1,5.1,6,5,6,6,8,1,10,1,28,30,3,8,9,21,12,3,4,1,17,12,20,19,6,13,3,5
1610612765,Detroit Pistons,62,35,27,0.565,48.3,42.6,89.7,0.475,13.0,35.9,0.361,16.5,21.2,0.779,11.4,33.9,45.3,26.5,15.5,8.2,5.2,4.8,20.4,18.3,114.7,1.8,1,9,11,11,11,10,15,11,17,19,14,23,19,17,10,8,7,14,21,13,9,14,25,22,11,13
1610612744,Golden State Warriors,61,33,28,0.541,48.1,41.1,91.9,0.447,15.3,42.6,0.359,15.6,21.0,0.745,12.9,33.2,46.1,29.1,13.7,9.0,5.0,5.7,19.6,18.1,113.1,1.9,6,12,12,12,28,17,5,26,4,3,15,28,25,30,3,18,3,4,9,6,15,26,21,25,15,10
1610612745,Houston Rockets,61,37,24,0.607,48.2,41.7,93.3,0.447,12.2,35.5,0.344,17.2,23.1,0.748,14.6,33.5,48.1,22.5,14.0,8.5,5.1,6.0,19.6,19.7,112.9,3.6,6,8,8,8,16,12,2,25,26,21,26,12,5,27,1,13,1,30,12,10,13,29,21,4,17,7
1610612754,Indiana Pacers,59,34,25,0.576,48.3,43.5,88.5,0.491,13.0,34.9,0.372,16.7,21.3,0.783,8.9,32.2,41.1,29.1,13.5,8.5,5.2,4.5,18.9,18.5,116.6,1.3,27,10,9,9,12,6,19,4,18,26,7,21,18,14,29,23,29,5,6,9,10,6,16,21,9,15
1610612746,LA Clippers,60,32,28,0.533,48.3,40.7,86.7,0.469,12.2,34.2,0.357,17.0,21.4,0.795,10.7,33.3,44.0,24.8,15.8,9.8,4.5,4.5,18.6,17.7,110.6,2.0,18,14,12,13,13,21,25,13,27,27,16,14,16,9,21,16,17,24,25,3,24,8,14,28,23,9
1610612747,Los Angeles Lakers,59,38,21,0.644,48.1,41.0,85.2,0.481,12.4,34.9,0.355,18.4,23.3,0.787,9.5,33.0,42.5,26.3,13.9,7.8,4.8,4.2,16.6,19.6,112.7,1.6,27,6,5,5,25,18,30,6,24,25,18,3,4,12,27,19,26,16,11,24,18,4,4,6,18,14
1610612763,Memphis Grizzlies,61,38,23,0.623,48.1,45.2,93.4,0.484,13.8,37.5,0.368,19.0,24.4,0.778,13.3,34.2,47.5,29.2,16.4,8.8,5.9,5.8,21.0,21.0,123.3,6.3,6,6,7,7,28,2,1,5,11,14,10,1,1,19,2,5,2,3,29,8,3,27,29,1,1,4
1610612748,Miami Heat,60,29,31,0.483,48.8,39.8,86.7,0.458,13.9,38.5,0.361,16.8,21.2,0.794,9.6,34.2,43.8,26.4,13.8,7.9,3.8,4.8,15.8,17.6,110.3,-0.3,18,17,17,17,1,25,24,20,10,11,13,18,22,10,26,6,22,15,10,21,30,12,1,29,25,17
1610612749,Milwaukee Bucks,59,34,25,0.576,48.1,41.7,87.0,0.479,14.3,37.3,0.383,16.7,22.4,0.747,8.5,35.5,44.0,25.2,13.6,7.3,4.9,4.0,18.4,18.8,114.4,1.9,27,10,9,9,25,13,23,7,6,15,2,20,11,29,30,1,17,22,8,27,16,2,11,15,13,11
1610612750,Minnesota Timberwolves,62,33,29,0.532,48.2,40.0,87.3,0.458,14.9,39.7,0.374,17.3,21.7,0.795,11.0,33.0,44.0,25.5,14.6,8.1,4.9,4.9,18.2,19.2,112.1,3.0,1,12,15,15,19,24,22,21,5,5,5,11,14,8,16,19,15,20,19,14,17,15,10,9,20,8
1610612740,New Orleans Pelicans,61,17,44,0.279,48.2,40.9,90.8,0.45,12.3,35.3,0.348,16.9,22.2,0.761,12.2,31.4,43.6,25.5,14.2,9.0,5.5,5.4,18.0,18.0,111.0,-7.8,6,27,27,27,16,20,8,24,25,24,22,16,12,26,6,26,23,19,16,5,8,22,8,26,21,28
1610612752,New York Knicks,60,40,20,0.667,48.4,44.0,89.3,0.493,12.7,34.1,0.372,17.0,21.1,0.803,10.7,32.2,42.9,27.4,13.1,7.9,4.0,5.0,16.9,19.1,117.6,4.7,18,4,4,4,3,5,17,3,20,28,6,15,24,5,22,24,24,11,3,20,29,16,5,12,5,6
1610612760,Oklahoma City Thunder,61,50,11,0.82,48.1,44.5,93.0,0.478,14.3,39.0,0.366,16.4,20.0,0.824,11.1,33.6,44.7,26.9,11.9,10.8,5.7,4.8,20.4,18.2,119.6,12.7,6,1,2,2,28,4,3,8,7,9,12,24,28,1,13,10,12,13,1,1,5,13,26,24,4,1
1610612753,Orlando Magic,62,29,33,0.468,48.2,37.7,85.7,0.44,10.8,35.3,0.305,17.9,23.4,0.765,11.4,30.5,41.9,22.9,14.6,8.9,6.2,4.4,20.5,20.7,104.0,-1.7,1,17,18,18,22,29,28,27,30,23,30,5,3,25,11,28,27,29,18,7,2,5,27,2,30,18
1610612755,Philadelphia 76ers,60,21,39,0.35,48.3,39.3,86.5,0.454,12.6,36.4,0.346,18.0,22.8,0.788,10.1,29.2,39.3,23.0,13.4,9.4,4.1,5.2,19.6,19.1,109.0,-4.6,18,24,24,24,7,27,26,23,21,17,25,4,7,11,24,30,30,28,5,4,28,20,20,10,26,24
1610612756,Phoenix Suns,61,28,33,0.459,48.4,41.0,86.0,0.477,14.2,37.8,0.377,17.6,21.8,0.805,9.1,33.6,42.8,27.7,14.1,7.3,5.1,4.1,18.1,19.1,113.8,-2.2,6,19,18,19,4,19,27,10,8,13,4,9,13,4,28,10,25,10,15,28,12,3,9,11,14,19
1610612757,Portland Trail Blazers,62,28,34,0.452,48.2,40.5,89.1,0.454,12.5,36.1,0.346,17.2,22.4,0.769,12.6,31.4,44.0,23.9,16.1,8.1,5.5,5.5,19.6,19.3,110.7,-3.6,1,19,21,21,22,22,18,22,23,18,24,13,10,23,5,27,17,26,27,16,7,23,23,8,22,22
1610612758,Sacramento Kings,60,32,28,0.533,48.6,43.4,90.9,0.478,12.5,35.7,0.351,17.5,21.6,0.81,11.1,33.9,44.9,27.0,13.5,7.9,4.7,4.5,19.0,18.7,116.9,1.9,18,14,12,13,2,7,7,9,22,20,20,10,15,2,14,9,10,12,7,22,21,7,17,16,6,12
1610612759,San Antonio Spurs,59,25,34,0.424,48.2,41.4,89.8,0.461,13.7,39.6,0.347,16.6,21.2,0.78,10.9,33.5,44.5,29.1,14.1,8.1,6.3,4.6,16.5,17.9,113.1,-2.2,27,22,21,22,20,16,12,18,12,6,23,22,21,15,17,12,14,6,14,15,1,10,3,27,16,20
1610612761,Toronto Raptors,61,19,42,0.311,48.4,41.5,89.4,0.465,11.4,32.8,0.348,15.8,21.2,0.748,11.7,32.1,43.9,28.4,15.6,7.8,4.4,5.7,21.5,18.5,110.3,-5.8,6,26,26,26,4,15,16,15,29,29,21,27,23,28,9,25,20,9,24,23,27,25,30,20,24,25
1610612762,Utah Jazz,61,15,46,0.246,48.3,40.3,87.9,0.459,14.0,39.3,0.356,17.7,22.7,0.779,12.1,33.4,45.6,25.9,17.4,6.6,4.7,6.3,19.0,19.7,112.3,-7.4,6,28,28,28,8,23,21,19,9,8,17,7,8,18,7,14,6,17,30,30,23,30,18,5,19,27
1610612764,Washington Wizards,60,11,49,0.183,48.2,39.4,89.7,0.439,12.9,38.8,0.333,16.3,20.9,0.78,10.5,33.3,43.8,25.2,16.1,7.6,5.0,5.4,20.4,18.7,108.1,-12.5,18,30,30,30,21,26,14,28,19,10,29,25,26,16,23,15,21,23,28,26,14,21,24,17,27,30
